Id,Price
725,158798.25915115722
15856,221248.6377301851
5480,192102.0694548214
15664,334941.0726906997
14275,132463.35890214436
7633,196389.07312334597
13329,177977.9924452569
5502,215698.00212020945
4220,270791.74636942556
11538,201919.5472661217
15975,270203.2894746191
3310,216809.08014510866
9286,154368.79270275056
11260,181533.03654128555
5214,106330.3708309399
11307,179998.72386545912
13543,352592.5100329992
615,178673.5944600825
3495,219447.76223418067
2321,244300.51991452032
12046,180833.39635569722
16688,151284.5555785117
12694,243722.64886210352
783,162138.94234765077
8968,174178.3859350948
13454,186653.73043342156
12190,248812.9995746155
11160,104563.99131581778
10291,189175.9504831629
891,290697.5672202471
2982,180900.39052095113
3818,244381.13096951
2449,191415.35190449952
8317,168694.27233145747
4922,177643.277708693
1257,240633.62536211338
9348,225143.81783570378
4176,190444.988893784
10704,160407.29035115908
6624,110522.12784971796
5428,200927.38560668973
12749,175866.47156941943
8994,205045.5153416845
11513,146009.8308110794
3047,186920.684040723
9519,203196.60466951918
12309,221171.14722732094
14081,267361.0885711221
8334,246172.17184658034
6343,180848.69504553004
14788,131690.98931403516
15748,438776.9207806454
153,253579.74846223116
14149,182700.2410207883
269,189056.83506327827
5452,141654.2276496924
721,189632.99247985185
5079,324879.2732413924
2831,114971.35637667311
10614,115602.97451353865
10131,247597.3277865055
9996,339833.7539194634
3061,185942.41857600282
11733,306892.5766584143
3726,252982.02781594062
10929,209569.61906232382
9011,277429.1032851532
16182,346867.131647969
4976,192145.1612585358
9897,236385.81295820023
1872,164356.86216640117
9205,375293.2628814429
5403,370866.2662854286
14074,205193.06992189083
6268,147598.94158395173
14232,172748.3593256808
8532,247605.1854299456
7034,333362.1079893048
6553,462480.7073253886
3133,178211.91290932632
8596,206886.67493837036
12389,245369.71500578086
14462,176692.96939415662
8860,365737.1702272173
8377,288831.5614055984
6367,355719.8432841682
6917,250117.54096330397
4216,186173.30327315687
5806,175481.77332819896
5438,196926.85217122032
6632,194825.22324524767
2650,168272.0847056207
5396,192030.44736095014
4044,153118.76200597486
1345,223071.9847236529
856,186944.4287314736
12791,247521.98721734597
12499,215435.47949155336
12249,128452.59309589097
14641,136849.20591435916
1919,171187.79724407595
7848,195875.74714965004
10749,183671.45217766863
15554,194364.9618868401
15834,161317.18945355742
1355,160723.29069556392
15451,179369.31995194973
12401,188328.26811260122
10290,176194.75814041667
9462,135137.272099387
3103,228941.91598305258
3420,124865.6815122632
12262,232150.29937659492
5032,144842.35025242143
8949,282929.9037415239
15567,236574.45958461717
16389,168006.2270462566
7809,89875.32513282685
8990,169267.34834818786
16089,234748.18352886316
12743,99805.55717614427
5132,124259.11325507586
1619,299353.8124364532
2428,102848.5452728825
16741,166208.38437861687
13193,220483.05212472216
12588,555046.0439457791
5067,171107.9029848689
14685,125671.19667542906
2292,182597.1084598481
5746,125276.4655712254
12578,165204.96321787089
14834,168580.8952609877
2147,174764.86703274772
8222,129700.49989270275
10419,275722.62285228464
11492,215625.43055009082
3006,227820.54210223968
8761,201451.68968824338
15371,368596.06398526416
16367,163186.93863863128
6317,286453.10244422394
10878,289810.8355304941
3895,164690.55262901552
8041,191508.2419597648
13428,466949.6310356671
14669,166307.38788102046
1006,180330.6858574668
12271,180647.06073027878
3764,422007.653025143
7675,204081.6710317221
11709,241722.66253826112
8629,159383.6580796972
1105,462981.01199301204
6096,186456.31848037112
11727,211767.62208919058
5157,192908.33906037174
3679,141116.4989229067
1755,154121.58587631522
7391,179052.62492770114
7425,100239.91949739693
6882,427871.81226734025
10752,359790.09022349224
7472,179543.5182520528
14320,97258.64777217987
9596,158648.5952437692
5317,185211.04632675892
7378,82102.71129660013
16154,182094.64441136233
3464,189268.51006799925
4197,231133.06036832498
9477,118669.72541861063
12705,194527.02381236674
16426,185708.30107378884
1481,66065.98377348085
9946,254154.14817433042
12025,217971.9096894614
5341,229433.32164454128
9923,286302.9661256777
7953,219249.00599464012
11066,255164.89272036115
5037,176536.53085833666
2509,187476.07939864678
4937,341731.5302081025
12089,384064.0343928875
4964,157873.53297852847
16500,272946.06982697104
4625,150252.18252165054
2363,359630.16381223104
8148,181771.24571797028
3804,180759.15980766248
4584,154171.6948386958
10694,105945.97776400384
2691,170408.60609004673
2983,222697.50726966572
13563,285944.63584420516
10747,216788.74609588482
1721,201825.68689277687
2789,277105.62503909954
7214,254542.4953591273
8659,243656.56284475117
5107,295399.1378474591
3843,220472.33137960781
14610,374629.87628739385
15505,160648.35399216754
5060,258349.36889434696
16055,240755.2910006075
14963,213347.9283695369
4118,153880.05376076297
1672,186643.9896816232
3209,199389.47296282928
16515,141435.0517577969
973,178910.37042053885
12529,179443.45458648368
5896,126010.95417695584
5450,288681.7739900148
3249,166202.43798929668
8911,174396.0896433427
5898,240886.9372694217
1024,180826.2219882018
4766,195269.40988940635
15804,188266.36256999333
14303,196783.51556986652
10707,187053.29409618938
6605,204355.06793074746
1138,451903.91315551294
14088,469949.90854305367
9154,184866.5636542968
8190,200362.15410568536
398,258880.86008028698
